Word	IPA transcription
	
než	n ɛ ʃ
jsem	j s ɛ m
začal	z a t ʃ a l
jako	j a k o
jediný	j ɛ ɟ i n iː
český	t ʃ ɛ s k iː
novinář	n o v i n aː r̝
měsíční	m ɲ ɛ s iː t ʃ ɲ iː
stáž	s t aː ʃ
která	k t ɛ r aː
byla	b i l a
mojí	m o j iː
první	p r̩ v ɲ iː
návštěvou	n aː f ʃ c ɛ v o u
kanady	k a n a d i
měl	m ɲ ɛ l
o	oː
této	t ɛː t o
zemi	z ɛ m i
určité	u r t ʃ i t ɛː
představy	p r̝ ɛ t s t a v i
zejména	z ɛ ɪ m ɛː n a
ohromné	o ɦ r o m n ɛː
rozloze	r o z l o z ɛ
tvrdé	t v r̩ d ɛː
zimě	z i m ɲ ɛ
a	aː
kvalitním	k v a l i t ɲ iː m
ledním	l ɛ d ɲ iː m
hokeji	ɦ o k ɛ j i
při	p r̝ i
koupi	k o u p i
bude	b u d ɛ
hrát	ɦ r aː t
velkou	v ɛ l k o u
roli	r o l i
vzdálenost	v z d aː l ɛ n o s t
od	o t
současného	s o u t ʃ a s n ɛː ɦ o
místa	m iː s t a
trvalého	t r̩ v a l ɛː ɦ o
bydliště	b i d l i ʃ c ɛ
zájemce	z aː j ɛ m t s ɛ
v	v ɛː
praxi	p r a k s i
to	t o
znamená	z n a m ɛ n aː
že	ʒ ɛ
ze	z ɛ
všech	f ʃ ɛ x
novin	n o v i n
právě	p r aː v j ɛ
mezi	m ɛ z i
čtenáři	t ʃ t ɛ n aː r̝ i
ln	ɛ l ɛ n
tvoří	t v o r̝ iː
největší	n ɛ ɪ v j ɛ t ʃ iː
podíl	p o ɟ iː l
ti	c i
kteří	k t ɛ r̝ iː
bývají	b iː v a j iː
označováni	o z n a t ʃ o v aː ɲ i
za	z a
elity	ɛ l i t i
státotvorností	s t aː t o t v o r n o s c iː
se	s ɛ
rozumí	r o z u m iː
i	iː
všednodenní	f ʃ ɛ d n o d ɛ ɲ iː
vážnost	v aː ʒ n o s t
úcta	uː t s t a
k	k aː
ústavě	uː s t a v j ɛ
hlavě	ɦ l a v j ɛ
státu	s t aː t u
státním	s t aː t ɲ iː m
svátků	s v aː t k uː
vlastní	v l a s t ɲ iː
historii	ɦ i s t o r i j i
jejím	j ɛ j iː m
památkám	p a m aː t k aː m
vůbec	v uː b ɛ t s
lidsky	l i t s k i
sjednocujícím	s j ɛ d n o t s u j iː t s iː m
momentům	m o m ɛ n t uː m
Ostatní	o s t a t ɲ iː
osoby	o s o b i
které	k t ɛ r ɛː
tuto	t u t o
podmínku	p o d m iː ŋ k u
nesplňují	n ɛ s p l̩ ɲ u j iː
jsou	j s o u
živnostenském	ʒ i v n o s t ɛ n s k ɛː m
podnikání	p o d ɲ i k aː ɲ iː
považovány	p o v a ʒ o v aː n i
cizozemce	t s i z o z ɛ m t s ɛ
zákonem	z aː k o n ɛ m
předepsanou	p r̝ ɛ d ɛ p s a n o u
způsobilost	s p uː s o b i l o s t
dokládají	d o k l aː d a j iː
dokumenty	d o k u m ɛ n t i
země	z ɛ m ɲ ɛ
původu	p uː v o d u
je	j ɛ
překvapující	p r̝ ɛ k v a p u j iː t s iː
církvi	t s iː r k v i
najednou	n a j ɛ d n o u
turistický	t u r i s t i t s k iː
ruch	r u x
vadí	v a ɟ iː
Ano	a n o
případě	p r̝ iː p a ɟ ɛ
jsme	j s m ɛ
obce	o p t s ɛ
chtěli	x c ɛ l i
zainteresovat	z a i n t ɛ r ɛ s o v a t
na	n a
užší	u ʃ ʃ iː
spolupráci	s p o l u p r aː t s i
s	ɛ s
výrobními	v iː r o b ɲ iː m i
závody	z aː v o d i
ležícími	l ɛ ʒ iː t s iː m i
příslušném	p r̝ iː s l u ʃ n ɛː m
regionu	r ɛ ɡ i o n u
školení	ʃ k o l ɛ ɲ iː
pravidelně	p r a v i d ɛ l ɲ ɛ
podle	p o d l ɛ
předpisů	p r̝ ɛ t p i s uː
opakuje	o p a k u j ɛ
K	k aː
českému	t ʃ ɛ s k ɛː m u
mimoburzovnímu	m i m o b u r z o v ɲ iː m u
trhu	t r̩ ɦ u
přidává	p r̝ i d aː v aː
rakouský	r a k o u s k iː
který	k t ɛ r iː
údajně	uː d a j ɲ ɛ
dvakrát	d v a k r aː t
až	a ʃ
třikrát	t r̝ i k r aː t
větší	v j ɛ t ʃ iː
pražské	p r a ʃ s k ɛː
burze	b u r z ɛ
některých	ɲ ɛ k t ɛ r iː x
