Word	IPA transcription
wie	v iː
die	d iː
Nachrichtenagentur	n a x r ɪ ç t ɛ n a ɡ ɛ n t uː ʀ
Itar-Tass	iː t aː ʀ t a s
am	a m
Mittwoch	m ɪ t v ɔ x
meldete	m ɛ l d ə t ə
wurden	v ʊ ɐ d ə n
drei	d r a ɪ
mutmaßlichen	m ʊ t m aː s l ɪ ç ə n
Täter	t ɛː t ɛ
festgenommen	f ɛ s t ɡ ə n ɔ m ə n
Sie	z iː
ist	ɪ s t
gezwungen	ɡ ə t s v ʊ ŋ ə n
neue	n ɔ ɪ ə
Provisorien	p r oː v iː z oː r iː ə n
in	ɪ n
Militärgebäuden	m iː l iː t ɛ ʀ ɡ eː b ɔ ɪ d ə n
einzurichten	a ɪ n t s uː r ɪ ç t ə n
nach	n aː x
Aussagen	a ʊ s z aː ɡ ə n
des	d ɛ s
früheren	f r yː ə r ə n
Innenministers	ɪ n ə n m iː n ɪ s t ɛ s
Kupfer	k ʊ p f ɛ
bisher	b ɪ s h eː ʀ
als	a l s
dafür	d aː f ʏ ʀ
ungeeignet	ʊ n ɡ ə a ɪ ɡ n ə t
galten	ɡ a l t ə n
so	z oː
trage	t ʀ aː ɡ ə
Israel	ɪ s r aː ɛ l
Verantwortung	f ɛ ʀ a n t v ɔ ʀ t ʊ ŋ
und	ʊ n t
Damaskus	d a m a s k ʊ s
werde	v ɛ ʀ d ə
eine	a ɪ n ə
immer	ɪ m ɛ
schwerer	ʃ v eː r ɛ
zu	t s uː
kontrollierende	k ɔ n t ʀ ɔ l iː r ə n d ə
Gruppe	ɡ r ʊ p ə
los	l oː s
diese	d iː z ə
Auffassung	a ʊ f f a s ʊ ŋ
hat	h a t
der	d ɛ ʀ
Vorsitzende	f oː ʀ z ɪ t s ə n d ə
SPD-Arbeitsgemeinschaft	ɛ s p eː d eː a ʀ b a ɪ t s ɡ eː m a ɪ n ʃ a f t
für	f yː ʀ
Arbeitnehmerfragen	a ʀ b a ɪ t n eː m ɛ f r aː ɡ ə n
Dreßler	d r ɛ s l ɛ
Sonntag	z ɔ n t aː k
Bonn	b ɔ n
vertreten	f ɛ ʀ t ʀ eː t ə n
ein	a ɪ n
Ausländer	a ʊ s l ɛ n d ɛ
muß	m uː s
Jahre	j aː r ə
im	ɪ m
Lande	l a n d ə
sein	z a ɪ n
bevor	b ə f oː ʀ
er	ɛ ʀ
seine	z a ɪ n ə
Familie	f a m iː l ɪ ə
nachholen	n a x h oː l ə n
kann	k a n
Wochenende	v ɔ x ə n ə n d ə
es	ɛ s
Deutschland	d ɔ ɪ t ʃ l a n t
abermals	a p ɛ ʀ m aː l s
frühsommerliche	f r yː z ɔ m ɛ l ɪ ç ə
Temperaturen	t ɛ m p eː r a t uː r ə n
von	f ɔ n
bis	b ɪ s
26	z ɛ k s ʊ n t t s v a n t s ɪ ç
Grad	ɡ r aː t
heftige	h ɛ f t ɪ ɡ ə
Gewitter	ɡ ə v ɪ t ɛ
gegeben	ɡ ə ɡ eː b ə n
Abend	aː b ə n t
wird	v ɪ ʀ t
bei	b a ɪ
Herstellung	h ɛ ʀ ʃ t ɛ l ʊ ŋ
eines	a ɪ n ə s
Zwischenprodukts	t s v ɪ ʃ ə n p r oː d ʊ k t s
Farbstoffe	f a ʀ p ʃ t ɔ f ə
Stammwerk	ʃ t a m v ɛ ʀ k
Ammoniak	a m oː n iː aː k
frei	f r a ɪ
offenkundig	ɔ f ə n k ʊ n d ɪ ç
Lafontaine	l a f ɔ n t a ɪ n ə
nicht	n ɪ ç t
gleichzeitig	ɡ l a ɪ ç t s a ɪ t ɪ ç
mit	m ɪ t
Frau	f r a ʊ
Schmidt	ʃ m ɪ t
Scharping	ʃ a ʀ p ɪ ŋ
zusammenarbeiten	t s uː z a m ə n a ʀ b a ɪ t ə n
ängstlich	ɛ ŋ s t l ɪ ç
blickt	b l ɪ k t
man	m a n
alten	a l t ə n
Industriestadt	ɪ n d ʊ s t ʀ iː s t a t
auf	a ʊ f
Zeit	t s a ɪ t
1994	a ɪ n t a ʊ z ə n t n ɔ ɪ n h ʊ n d ɛ t f iː ʀ ʊ n t n ɔ ɪ n t s ɪ ç
wenn	v ɛ n
Zonenrandförderung	t s oː n ə n r a n t f œ ʀ d ə r ʊ ŋ
wegfällt	v eː k f ɛ l t
erstmals	eː ʀ s t m aː l s
haben	h aː b ə n
sich	z ɪ ç
Deutsche	d ɔ ɪ t ʃ ə
europäischen	ɔ ɪ oː p ɛː ɪ ʃ ə n
Ausland	a ʊ s l a n t
einer	a ɪ n ɛ
Lichterkette	l ɪ ç t ɛ k ɛ t ə
aufgereiht	a ʊ f ɡ ə r a ɪ h t
um	ʊ m
gegen	ɡ eː ɡ ə n
Fremdenhaß	f r ɛ m d ə n h aː s
ihrer	iː r ɛ
Heimat	h a ɪ m aː t
protestieren	p r oː t ɛ s t iː r ə n
August	a ʊ ɡ ʊ s t
1991	a ɪ n t a ʊ z ə n t n ɔ ɪ n h ʊ n d ɛ t a ɪ n ʊ n t n ɔ ɪ n t s ɪ ç
setzten	z ɛ t s t ə n
sie	z iː
Gorbatschow	ɡ ɔ ʀ b a t ʃ oː f
unter	ʊ n t ɛ
anderem	a n d ə r ə m
deswegen	d ɛ s v eː ɡ ə n
ab	a p
Unterzeichnung	ʊ n t ɛ t s a ɪ ç n ʊ ŋ
neuen	n ɔ ɪ ə n
Föderationsvertrags	f øː d eː r a t s ɪ oː n s f ɛ t ʀ aː k s
vereiteln	f ɛ ʀ a ɪ t ə l n
ihm	iː m
läge	l ɛː ɡ ə
Beschluß	b ə ʃ l uː s
Weltsicherheitsrates	v ɛ l t s ɪ ç ɛ h a ɪ t s r aː t ə s
zur	t s uː ʀ
Abwehr	a p v eː ʀ
Aggression	a ɡ r ɛ s j oː n
zugrunde	t s uː ɡ r ʊ n d ə
Hanf	h a n f
dient	d iː n t
Gewinnung	ɡ ə v ɪ n ʊ ŋ
Haschisch	h a ʃ ɪ ʃ
Frank	f r a ŋ k
Lehmann	l eː m a n
meisten	m a ɪ s t ə n
Postbediensteten	p ɔ s t b eː d iː n s t ə t ə n
hier	h iː ʀ
Region	r eː ɡ i oː n
aufgewachsen	a ʊ f ɡ ə v a x z ə n
übernimmt	yː b ɛ n ɪ m t
diesen	d iː z ə n
Tagen	t aː ɡ ə n
Kahn-Zustellung	k aː n t s uː ʃ t ɛ l ʊ ŋ
Haas	h aː s
sagte	z aː ɡ t ə
einem	a ɪ n ə m
Anwalt	a n v a l t
oblägen	ɔ p l ɛː ɡ ə n
gleichen	ɡ l a ɪ ç ə n
Pflichten	p f l ɪ ç t ə n
Identifizierung	iː d ə n t iː f iː t s iː r ʊ ŋ
Personen	p ɛ ʀ z oː n ə n
den	d eː n
Banken	b a ŋ k ə n
unterrichtete	ʊ n t ɛ r ɪ ç t ə t ə
Einheit	a ɪ n h a ɪ t
Herrenwaldkaserne	h ɛ r ə n v a l t k a z ɛ n ə
davon	d aː f ɔ n
Angaben	a n ɡ aː b ə n
UNHCR	ʊ n h k ʀ
Genf	ɡ ɛ n f
kehrten	k eː ʀ t ə n
unterdessen	ʊ n t ɛ d ɛ s ə n
ersten	eː ʀ s t ə n
Flüchtlinge	f l ʏ ç t l ɪ ŋ ə
aus	a ʊ s
umliegenden	ʊ m l iː ɡ ə n d ə n
Bergen	b ɛ ʀ ɡ ə n
Zepa	t s eː p aː
zurück	t s uː r ʏ k
FDP	ɛ f d eː p eː
müsse	m ʏ s ə
ihre	iː r ə
Eigenständigkeit	a ɪ ɡ ə n ʃ t ɛ n d ɪ ç k a ɪ t
bewahren	b ə v aː r ə n
brauche	b r a ʊ x ə
dazu	d aː t s uː
aber	aː b ɛ
gleich	ɡ l a ɪ ç
dem	d eː m
Bruch	b r ʊ x
winken	v ɪ ŋ k ə n
gebe	ɡ eː b ə
keinen	k a ɪ n ə n
Anlaß	a n l aː s
Schäuble	ʃ ɔ ɪ b l ə
Praxis	p r a k s ɪ s
Staatsanwaltschaften	ʃ t aː t z a n v a l t ʃ a f t ə n
Einstellung	a ɪ n ʃ t ɛ l ʊ ŋ
Verfahren	f ɛ ʀ f aː r ə n
beanstanden	b ə a n ʃ t a n d ə n
tatsächlich	t a t z ɛ ç l ɪ ç
islamische	ɪ s l a m ɪ ʃ ə
Komponente	k ɔ m p oː n ɛ n t ə
wirksam	v ɪ ʀ k z aː m
werden	v ɛ ʀ d ə n
Greuel	ɡ r ɔ ɪ ə l
ungeahndet	ʊ n ɡ ə aː n d ə t
verübt	f ɛ ʀ yː p t
Flüchtlingsmassen	f l ʏ ç t l ɪ ŋ s m a s ə n
gejagt	ɡ ə j aː k t
das	d a s
Völkerrecht	f œ l k ɛ r ɛ ç t
Fetzen	f ɛ t s ə n
Papier	p a p iː ʀ
degradiert	d ɛ ɡ r a d iː ʀ t
sieben	z iː b ə n
Fundamentalisten	f ʊ n d a m ɛ n t a l ɪ s t ə n
Geiselnahme	ɡ a ɪ z ə l n aː m ə
erschossen	ɛ ʀ ʃ ɔ s ə n
fünf	f ʏ n f
Zivilisten	t s iː v iː l ɪ s t ə n
zwei	t s v a ɪ
Anschlägen	a n ʃ l ɛː ɡ ə n
getötet	ɡ ə t øː t ə t
vom	f ɔ m
kommenden	k ɔ m ə n d ə n
Montag	m oː n t aː k
an	a n
Öffentlichkeit	œ f ə n t l ɪ ç k a ɪ t
zugänglich	t s uː ɡ ɛ ŋ l ɪ ç
ihn	iː n
wiederherzustellen	v iː d ɛ h ɛ ʀ t s ʊ ʃ t ɛ l ə n
Staatengemeinschaft	ʃ t aː t ə n ɡ eː m a ɪ n ʃ a f t
gehalten	ɡ ə h a l t ə n
möglicherweise	m œ ɡ l ɪ ç ɛ v a ɪ z ə
seien	z a ɪ ə n
Menschen	m ɛ n ʃ ə n
beim	b a ɪ m
Untergang	ʊ n t ɛ ɡ a ŋ
Schiffes	ʃ ɪ f ə s
Tiefe	t iː f ə
gerissen	ɡ ə r ɪ s ə n
worden	v ɔ ʀ d ə n
hieß	h iː s
zerrten	t s ɛ ʀ t ə n
Geräteraum	ɡ ə r ɛː t eː r a ʊ m
schunden	ʃ ʊ n d ə n
weiter	v a ɪ t ɛ
darüber	d aː r yː b ɛ
Bewohner	b ə v oː n ɛ
somalischen	z oː m a l ɪ ʃ ə n
Hauptstadt	h a ʊ p t s t a t
Mogadiscio	m oː ɡ a d ɪ s k ɪ oː
durch	d ʊ ɐ ç
Flugblätter	f l uː ɡ b l ɛ t ɛ
informiert	ɪ n f ɔ ʀ m iː ʀ t
Dienstag	d iː n s t aː k
verteilt	f ɛ ʀ t a ɪ l t
nur	n uː ʀ
weil	v a ɪ l
indirekt	ɪ n d iː r ɛ k t
Entscheidung	ɛ n t ʃ a ɪ d ʊ ŋ
Wiederaufbau	v iː d ɛ a ʊ f b a ʊ
Berliner	b ɛ ʀ l iː n ɛ
Stadtschlosses	ʃ t a t ʃ l ɔ s ə s
enthält	ɛ n t h ɛ l t
besteht	b ə ʃ t eː t
jedoch	j eː d ɔ x
Gefahr	ɡ ə f aː ʀ
daß	d a s
Berlin	b ɛ ʀ l iː n
wieder	v iː d ɛ
zerredet	t s ɛ ʀ r eː d ə t
nichts	n ɪ ç t s
Nationalität	n a t s ɪ oː n aː l iː t ɛː t
Einkaufschefs	a ɪ n k a ʊ f ʃ eː f s
tun	t uː n
sondern	z ɔ n d ɛ n
seinem	z a ɪ n ə m
Stil	ʃ t iː l
atemberaubende	a t ɛ m b eː r a ʊ b ə n d ə
Preisermäßigungen	p r a ɪ z ɛ m ɛː s ɪ ɡ ʊ ŋ ə n
per	p ɛ ʀ
Ukas	uː k aː s
verlangen	f ɛ ʀ l a ŋ ə n
während	v ɛː r ə n t
Gespräche	ɡ ə ʃ p r ɛ ç ə
kam	k aː m
Teilen	t a ɪ l ə n
Angolas	a n ɡ oː l aː s
schweren	ʃ v eː r ə n
Gefechten	ɡ ə f ɛ ç t ə n
solche	z ɔ l ç ə
Bemühungen	b ə m yː ʊ ŋ ə n
könnten	k œ n t ə n
Schaffung	ʃ a f ʊ ŋ
gemeinsamen	ɡ ə m a ɪ n z aː m ə n
Marktes	m a ʀ k t ə s
Staaten	ʃ t aː t ə n
mittleren	m ɪ t l ə r ə n
Ostens	ɔ s t ə n s
gelten	ɡ ɛ l t ə n
Februar	f ɛ b r uː aː ʀ
nahen	n aː ə n
Osten	ɔ s t ə n
reisen	r a ɪ z ə n
Friedensprozeß	f r iː d ə n ʃ p r oː t s eː s
retten	r ɛ t ə n
Deutschlandhalle	d ɔ ɪ t ʃ l a n t h a l ə
