Word	IPA transcription
Pour	p u ʁ
ce	s ə
faire	f ɛ ʁ
des	d e
formes	f ɔ ʁ m
juridiques	ʒ y ʁ i d i k
de	d ə
groupement	ɡ ʁ u p m ɑ̃
devraient	d ə v ʁ ɛ
être	ɛ t ʁ
étudiées	e t y d j e
en	ɑ̃
cohérence	k ɔ e ʁ ɑ̃ s
avec	a v ɛ k
les	l e
politiques	p ɔ l i t i k
régionales	ʁ e ʒ j ɔ n a l
et	e
nationales	n a s j ɔ n a l
santé	s ɑ̃ t e
elles	ɛ l
pourraient	p u ʁ ɛ
dans	d ɑ̃
un	œ̃
premier	p ʁ ə m j e
temps	t ɑ̃
expérimentées	ɛ k s p e ʁ i m ɑ̃ t e
une	y n
ou	u
plusieurs	p l y z j œ ʁ
régions	ʁ e ʒ j ɔ̃
pilotes	p i l ɔ t
Ce	s ə
sont	s ɔ̃
généralement	ʒ e n e ʁ a l m ɑ̃
atomes	a t ɔ m
radicaux	ʁ a d i k o
libres	l i b ʁ
ions	j ɔ̃
molécules	m ɔ l e k y l
intermédiaires	ɛ̃ t ɛ ʁ m e d j ɛ ʁ
jouant	ʒ u ɑ̃
rôle	ʁ o l
essentiel	e s ɑ̃ s j ɛ l
la	l a
propagation	p ʁ ɔ p a ɡ a s j ɔ̃
ramification	ʁ a m i f i k a s j ɔ̃
rupture	ʁ y p t y ʁ
chaînes	ʃ ɛ n
Il	i l
sera	s ə ʁ a
nécessaire	n e s ɛ s ɛ ʁ
aussi	o s i
d'apprécier	d a p ʁ e s j e
l'impact	l ɛ̃ p a k t
déréglementation	d e ʁ e ɡ l ə m ɑ̃ t a s j ɔ̃
du	d y
secteur	s ɛ k t œ ʁ
financier	f i n ɑ̃ s j e
européen	ø ʁ ɔ p e ɛ̃
sur	s y ʁ
modes	m ɔ d
financement	f i n ɑ̃ s m ɑ̃
firmes	f i ʁ m
industrielles	ɛ̃ d y s t ʁ i ɛ l
En	ɑ̃
conclusion	k ɔ̃ k l y z j ɔ̃
tout	t u
cela	s ə l a
nous	n u
renvoie	ʁ ɑ̃ v w a
bien	b j ɛ̃
sûr	s yː ʁ
au	o
problème	p ʁ ɔ b l ɛ m
moyens	m w a j ɛ̃
si	s i
sommes	s ɔ m
accord	a k ɔ ʁ
présence	p ʁ e z ɑ̃ s
intervenants	ɛ̃ t ɛ ʁ v ə n ɑ̃
posons	p o z ɔ̃
même	m ɛ m
question	k ɛ s t j ɔ̃
inégalités	i n e ɡ a l i t e
potentielles	p ɔ t ɑ̃ s j ɛ l
suivant	s y i v ɑ̃
richesse	ʁ i ʃ ɛ s
communes	k ɔ m y n
Les	l e
dates	d a t
retenues	ʁ ə t ə n y
fonction	f ɔ̃ k s j ɔ̃
l'effectif	l e f ɛ k t i f
cellule	s ɛ l y l
concours	k ɔ̃ k u ʁ
disponibilités	d i s p ɔ n i b i l i t e
salles	s a l
tant	t ɑ̃
pour	p u ʁ
l'écrit	l e k ʁ i
que	k ə
l'oral	l ɔ ʁ a l
Malgré	m a l ɡ ʁ e
avantages	a v ɑ̃ t a ʒ
manifestes	m a n i f ɛ s t
tous	t u s
ces	s e
renseignements	ʁ ɑ̃ s ɛ n j ə m ɑ̃
médecine	m e d ə s i n
peuvent	p ø v
avoir	a v w a ʁ
effets	e f ɛ
nuisibles	n y i z i b l
consommateurs	k ɔ̃ s ɔ m a t œ ʁ
professionnels	p ʁ ɔ f ɛ s j ɔ n ɛ l
qui	k i
ne	n ə
utilisent	y t i l i z
pas	p a
convenablement	k ɔ̃ v n a b l ə m ɑ̃
est	ɛ
donc	d ɔ̃ k
très	t ʁ ɛ
difficile	d i f i s i l
distinguer	d i s t ɛ̃ ɡ e
différencier	d i f e ʁ ɑ̃ s j e
arcs	a ʁ k
route	ʁ u t
l'autoroute	l o t o ʁ u t
cette	s ɛ t
représentation	ʁ ə p ʁ e z ɑ̃ t a s j ɔ̃
spatialisée	s p a s j a l i z e
coûts	k u
transport	t ʁ ɑ̃ s p ɔ ʁ
plus	p l y
âgés	a ʒ e
eux	ø
se	s ə
souviennent	s u v j ɛ n
surtout	s y ʁ t u
difficultés	d i f i k y l t e
vie	v i
quotidienne	k ɔ t i d j ɛ n
lorraine	l ɔ ʁ ɛ n
où	u
mal-logés	m a l l ɔ ʒ e
étaient	e t ɛ
légion	l e ʒ j ɔ̃
le	l ə
chauffage	ʃ o f a ʒ
central	s ɑ̃ t ʁ a l
véritable	v e ʁ i t a b l
luxe	l y k s
Nous	n u
construisons	k ɔ̃ s t ʁ y i z ɔ̃
alors	a l ɔ ʁ
modélisation	m ɔ d e l i z a s j ɔ̃
réseau	ʁ e z o
formalisée	f ɔ ʁ m a l i z e
