Word	IPA transcription
Škola	ʃ k o l aː
se	s e
nalazi	n a l aː z i
blizu	b l i z u
Bulevara	b u l e v a r aː
a	a
Koschnick	k o s t̪ s h n i t̪ s k
tvrdi	t̪ v r d̪ i
kako	k a k o
je	j e
njezina	ɲ e z i n aː
obnova	o b n o v aː
stajala	s t̪ a j aː l aː
oko	o k o
milijun	m i l i j u n
maraka	m a r aː k aː
Dodao	d̪ o d̪ aː o
da	d̪ a
Hrvatska	x r v a t̪ s k aː
zalaže	z a l aː ʒ e
za	z a
punu	p u n u
normalizaciju	n o r m aː l i z aː t̪ s i j u
odnosa	o d̪ n o s aː
u	u
regiji	r e ɡ i j i
te	t̪ e
tom	t̪ o m
sklopu	s k l o p u
vodi	v o d̪ i
i	i
pregovore	p r e ɡ o v o r e
o	o
sklapanju	s k l a p aː ɲ u
bilateralnog	b i l aː t̪ e r aː l n o ɡ
sporazuma	s p o r aː z u m aː
manjinama	m a ɲ i n aː m aː
sa	s a
SRJ	s r j
Ja	j a
sam	s aː m
koordinator	k o o r d̪ i n aː t̪ o r
logistike	l o ɡ i s t̪ i k e
Hrvatsku	x r v a t̪ s k u
Zagrebu	z a ɡ r e b u
američki	a m e r i t̪ ʃ k i
general	ɡ e n e r aː l
logistički	l o ɡ i s t̪ i t̪ ʃ k i
zapovjednik	z a p o v j e d̪ n i k
sve	s v e
zemlje	z e m ʎ e
Predsjednik	p r e t̪ s j e d̪ n i k
ZPH	z i p i x i
Mato	m a t̪ o
Simić	s i m i t̪ ɕ
ustvrdio	u s t̪ v r d̪ i o
nepravedno	n e p r aː v e d̪ n o
novčano	n o f t̪ ʃ aː n o
pomagati	p o m aː ɡ aː t̪ i
lokalne	l o k aː l n e
Srbe	s r b e
hrvatskome	x r v a t̪ s k o m e
Podunavlju	p o d̪ u n aː v l j u
istodobno	i s t̪ o d̪ o b n o
prognanicima	p r o ɡ n aː n i t̪ s i m aː
Hrvatima	x r v a t̪ i m aː
neredovito	n e r e d̪ o v i t̪ o
isplaćivati	i s p l aː t̪ ɕ i v aː t̪ i
novčane	n o f t̪ ʃ aː n e
naknade	n a k n aː d̪ e
Vijeće	v i j e t̪ ɕ e
posebice	p o s e b i t̪ s e
zadovoljstvom	z a d̪ o v o ʎ s t̪ v o m
bilježi	b i ʎ e ʒ i
demilitarizacija	d̪ e m i l i t̪ a r i z aː t̪ s i j aː
protekla	p r o t̪ e k l aː
glatko	ɡ l a t̪ k o
bila	b i l aː
dovršena	d̪ o v r ʃ e n aː
20.-og	d̪ v a d̪ e s e t̪ o ɡ
lipnja	l i p ɲ aː
1996.-e	t̪ i s u t̪ ɕ u d̪ e v e t̪ s t̪ o d̪ e v e d̪ e s e t̪ ʃ e s t̪ e
Predsjedniku	p r e t̪ s j e d̪ n i k u
SUH-a	s u h a
Juraj	j u r a j
Ivanković	i v aː ŋ k o v i t̪ ɕ
<	
os-	o s
>	
osvrnuo	o s v r n u o
na	n a
veće	v e t̪ ɕ e
kašnjenja	k a ʃ ɲ e ɲ aː
isplate	i s p l aː t̪ e
mirovina	m i r o v i n aː
ocijenio	o t̪ s i j e n i o
to	t̪ o
put	p u t̪
umire-	u m i r e
umirovljenike	u m i r o v l j e n i k e
zakine	z a k i n e
još	j o ʃ
jednu	j e d̪ n u
mirovinu	m i r o v i n u
Naglasivši	n a ɡ l aː s i f ʃ i
Republika	r e p u b l i k aː
nakon	n a k o n
oslobađanja	o s l o b aː d̪ ʑ aː ɲ aː
najvećeg	n a j v e t̪ ɕ e ɡ
dijela	d̪ i j e l aː
okupiranih	o k u p i r aː n i h
područja	p o d̪ r u t̪ ʃ j aː
rezolucije	r e z o l u t̪ s i j e
Vijeća	v i j e t̪ ɕ aː
sigurnosti	s i ɡ u r n o s t̪ i
Ujedinjenih	u j e d̪ i ɲ e n i h
Naroda	n a r o d̪ aː
provedbi	p r o v e d̪ b i
Temeljnog	t̪ e m e ʎ n o ɡ
istočnu	i s t̪ o t̪ ʃ n u
Slavoniju	s l a v o n i j u
Baranju	b a r aː ɲ u
Zapadni	z a p aː d̪ n i
Srijem	s r i j e m
spremna	s p r e m n aː
provoditi	p r o v o d̪ i t̪ i
vlast	v l a s t̪
pravne	p r a v n e
države	d̪ r ʒ a v e
svom	s v o m
cjelokupnom	t̪ s j e l o k u p n o m
području	p o d̪ r u t̪ ʃ j u
ministar	m i n i s t̪ a r
Granić	ɡ r a n i t̪ ɕ
dodao	d̪ o d̪ aː o
s-	s
sobom	s o b o m
povlači	p o v l aː t̪ ʃ i
redefiniranje	r e d̪ e f i n i r aː ɲ e
buduće	b u d̪ u t̪ ɕ e
uloge	u l o ɡ e
tako	t̪ a k o
