Word	IPA transcription
Jak	j a k
poważnie	p ɔ v a ʐ̻ ɲ ɛ
traktowane	t̪ r a k t̪ ɔ v a n̪ ɛ
jest	j ɛ s̪ t̪
zagrożenie	z̪ a ɡ r ɔ ʐ̻ ɛ ɲ ɛ
ewentualną	ɛ v ɛ n̪ t̪ u a l̪ n̪ ɔ
eksplozją	ɛ k s̪ p l̪ ɔ z̪ j ɔ
wynika	v ɨ ɲ i k a
z	z̪ ɨ
książki	k ɕ ɔ ɕ k i
o	ɔ
Nowych	n̪ ɔ v ɨ x
Przywódcach	p ɕ ɨ v u t̪ t̪s̪ a x
Chin	ɕ i n̪
opartej	ɔ p a r t̪ ɛ j
na	n̪ a
wypowiedziach	v ɨ p ɔ v ɛ d̪ ʑ a x
przedstawicieli	p ɕ ɛ t̪ s̪ t̪ a v i t̪ ɕ ɛ l̪ i
tak	t̪ a k
zwanego	z̪ v a n̪ ɛ ɡ ɔ
Czwartego	t̪ ɕ f a r t̪ ɛ ɡ ɔ
Pokolenia	p ɔ k ɔ l̪ ɛ ɲ a
zamkniętych	z̪ a m k ɲ ɛ n̪ t̪ ɨ x
gremiach	ɡ r ɛ m j a x
Mistrzowie	m i s̪ t̪ ɕ ɔ v ɛ
grzebienia	ɡ ʐ̻ ɛ b j ɛ ɲ a
przypominają	p ɕ ɨ p ɔ m i n̪ a j ɔ
fryzura	f r ɨ z̪ u r a
powinna	p ɔ v i n̪ n̪ a
pasować	p a s̪ ɔ v a t̪ ɕ
nie	ɲ ɛ
tylko	t̪ ɨ l̪ k ɔ
do	d̪ ɔ
stroju	s̪ t̪ r ɔ j u
ale	a l̪ ɛ
też	t̪ ɛ ɕ
naszego	n̪ a ɕ ɛ ɡ ɔ
charakteru	x a r a k t̪ ɛ r u
i	i
tego	t̪ ɛ ɡ ɔ
bardziej	b a r d̪ ʑ ɛ j
powinniśmy	p ɔ v i n̪ ɲ i ɕ m ɨ
się	ɕ ɛ
trzymać	t̪ ɕ ɨ m a t̪ ɕ
niż	ɲ i ɕ
mód	m u t̪
W	v ɨ
śniegu	ɕ ɲ ɛ ɡ u
zalegającym	z̪ a l̪ ɛ ɡ a j ɔ n̪ t̪s̪ ɨ m
w	v ɨ
skalnym	s̪ k a l̪ n̪ ɨ m
zagłębieniu	z̪ a ɡ w ɛ m b j ɛ ɲ u
wykopała	v ɨ k ɔ p a w a
jamę	j a m ɛ
Uczelnia	u t̪ ɕ ɛ l̪ ɲ a
planuje	p l̪ a n̪ u j ɛ
