Word	IPA transcription
теперь	t̪ʲ i pʲ e rʲ
тот	t o t
же	ʒˠ i
Ельцин	j e lʲ t s ɨ n
по	p ʌ
существу	s u ʂ i s t v u
выполняя	v ɨ p ʌ lʲ n̪ʲ ɑ j a
требование	t rʲ e b ʌ v ʌ n̪ʲ i j ɪ
бывшего	b ɨ f ʃˠ ɨ v ʌ
командарма	k ʌ m a n d ɑ r m a
отправил	ʌ t p r ɑ vʲ i l
в	v
отставку	ʌ t s t ɑ f k u
министра	mʲ i n̪ʲ i s t r a
обороны	ʌ b ʌ r o n ɨ
сути	s u t̪ʲ ɪ
их	i x
реализация	rʲ i ʌ lʲ i z ɑ t s ɨ j a
позволила	p ʌ z v o lʲ i l a
банку	b ɑ n k u
выйти	v ɨ j t̪ʲ ɪ
из	i s
разряда	r a z rʲ ɑ d a
региональных	rʲ i ɡʲ i ʌ n ɑ lʲ n ɨ x
разряд	r a z rʲ ɑ t
национальных	n ʌ t s ɨ ʌ n ɑ lʲ n ɨ x
о	o
том	t o m
что	ʃˠ t o
Гитлер	ɡʲ i t lʲ i r
намеревался	n ʌ mʲ i rʲ i v ɑ l sʲ ʌ
стереть	sʲ t̪ʲ i rʲ e t̪ʲ
Ленинград	l i n̪ʲ i n ɡ r ɑ t
с	s
лица	lʲ i t s a
земли	zʲ e m lʲ ɪ
общеизвестно	ʌ p ʂ i i z vʲ e s t n ʌ
но	n o
руководство	r u k ʌ v o d s t v ʌ
СССР	ɛ s ɛ s ɛ s ɛ r
готовилось	ɡ ʌ t o vʲ i l ʌ sʲ
взорвать	v z ʌ r v ɑ t̪ʲ
город	ɡ o r ʌ t
на	n a
Неве	n i vʲ e
находящимися	n ʌ x ʌ d̪ʲ ɑ ʂ i mʲ i sʲ ʌ
рейде	rʲ e j d̪ʲ i
судами	s u d ɑ mʲ ɪ
до	d ʌ
сих	sʲ i x
пор	p o r
очень	o t̠ʃʲ i n̪ʲ
мало	m ɑ l ʌ
кому	k ʌ m u
ведомо	vʲ e d ʌ m ʌ
кстати	k s t ɑ t̪ʲ ɪ
свой	s v o j
участок	u t̠ʃʲ ɑ s t ʌ k
северного	sʲ e vʲ i r n ʌ v ʌ
российского	r ʌ sʲ sʲ i j s k ʌ v ʌ
маршрута	m a r ʃˠ r u t a
перекачки	pʲ i rʲ i k ɑ t̠ʃʲ kʲ ɪ
каспийской	k a s pʲ i j s k ʌ j
нефти	n̪ʲ e f t̪ʲ ɪ
Азербайджан	a zʲ i r b a j d ʒˠ ɑ n
уже	u ʒˠ ɨ
привел	p rʲ i vʲ e l
порядок	p ʌ rʲ ɑ d ʌ k
однако	ʌ d n ɑ k ʌ
село	sʲ e l ʌ
как	k ɑ k
ему	j ɪ m u
и	i
полагается	p ʌ l a ɡ ɑ j i t s ʌ
оказалось	ʌ k a z ɑ l ʌ sʲ
более	b o lʲ i j ɪ
строптивым	s t r ʌ p t̪ʲ i v ɨ m
себе	sʲ i bʲ e
уме	u mʲ e
хотя	x ʌ t̪ʲ ɑ
сегодняшний	sʲ i v o d n̪ʲ ʌ ʃˠ n̪ʲ i j
день	d̪ʲ e n̪ʲ
потенциал	p ʌ t̪ʲ i n t s ɨ ɑ l
обычных	ʌ b ɨ t̠ʃʲ n ɨ x
сил	sʲ i l
НАТО	n ɑ t ʌ
недостаточен	n̪ʲ i d ʌ s t ɑ t ʌ t̠ʃʲ i n̪ʲ
для	d lʲ ɑ
проведения	p r ʌ vʲ i d̪ʲ e n̪ʲ i j a
крупномасштабной	k r u p n ʌ m a ʃˠ ʃˠ t ɑ b n ʌ j
наступательно	n ʌ s t u p ɑ t̪ʲ i lʲ n ʌ
операции	ʌ pʲ i r ɑ t s ɨ ɪ
против	p r o t̪ʲ i f
РФ	ɛ r ɛ f
аналогичной	a n ʌ l ʌ ɡʲ i ʃˠ n ʌ j
гитлеровскому	ɡʲ i t lʲ i r o f s k ʌ m u
вторжению	f t ʌ r ʒˠ ɛ n̪ʲ i j u
1941го	o d n ɑ t ɨ sʲ ʌ t ʂ d e vʲ a t s o t s o r ɔ k o j d̪ʲ i n ɡ o
г	ɡ ɛ
со	s ʌ
времени	v rʲ e mʲ i n̪ʲ ɪ
временем	v rʲ e mʲ i n̪ʲ i m
он	o n
может	m o ʒˠ ɨ t
быть	b ɨ t̪ʲ
усилен	u sʲ i lʲ i n
придвинут	p rʲ i d vʲ i n u t
к	k
границам	ɡ r a n̪ʲ i t s ʌ m
семерка	sʲ i mʲ e r k a
плюс	p lʲ u s
Россия	r ʌ sʲ sʲ i j a
данные	d ɑ n n ɨ j ɪ
опросов	ʌ p r o s ʌ f
проводимых	p r ʌ v ʌ d̪ʲ i m ɨ x
рамках	r ɑ m k ʌ x
проета	p r ʌ j e t a
Министерства	mʲ i n̪ʲ i sʲ t̪ʲ e r s t v a
экономики	ɛ k ʌ n o mʲ i kʲ ɪ
Мониторинг	m ʌ n̪ʲ i t o rʲ i n k
