word_id	seg_id	spkr_id	language	spkr_gender	spkr_age	split	start	end	duration	num_ph	orth	phon	IPA	correct_IPA	frequency	file
DEU063_70_3	DEU063_70	DEU063	DEU	male		TRA	2.06	2.71	0.65	4	autos	aU t ol s	aʊ t oː s	a ʊ t oː s	20	German/wav/063/GE063_70.wav
CZE099_70_5	CZE099_70	CZE099	CZE	male	21.0	DEV	1.5	1.84	0.34	4	této	t ee t o	t ɛː t o	t ɛː t o	15	Czech/wav/099/CZ099_70.wav
DEU063_82_20	DEU063_82	DEU063	DEU	male		TRA	10.96	11.34	0.38	6	werden	v el r d etu n	v ɛ ʀ d ə n	v ɛ ʀ d ə n	618	German/wav/063/GE063_82.wav
DEU063_33_6	DEU063_33	DEU063	DEU	male		TRA	2.74	3.21	0.47	6	wahrheit	v al r h a i t	v aː ʀ h aɪ t	v aː ʀ h a ɪ t	13	German/wav/063/GE063_33.wav
DEU067_55_7	DEU067_55	DEU067	DEU	male		TRA	2.72	3.01	0.29	4	viele	f il l etu	f iː l ə	f iː l ə	81	German/wav/067/GE067_55.wav
DEU047_25_15	DEU047_25	DEU047	DEU	male		TRA	9.07	9.72	0.65	7	aufgaben	aU f g al b etu n	aʊ f ɡ aː b ə n	a ʊ f ɡ aː b ə n	18	German/wav/047/GE047_25.wav
DEU057_32_2	DEU057_32	DEU057	DEU	male		TRA	0.75	1.4	0.65	11	abgeordnete	a p g etu o r d n etu t etu	a p ɡ ə ɔ ʀ d n ə t ə	a p ɡ ə ɔ ʀ d n ə t ə	10	German/wav/057/GE057_32.wav
CZE070_84_18	CZE070_84	CZE070	CZE	female	23.0	TRA	7.41	7.82	0.41	5	zájmů	z aa j m uu	z aː j m uː	z aː j m uː	12	Czech/wav/070/CZ070_84.wav
CZE008_137_2	CZE008_137	CZE008	CZE	male	27.0	TRA	0.73	0.98	0.25	4	když	g d i sh	k d i ʃ	k d i ʃ	294	Czech/wav/008/CZ008_137.wav
CZE101_48_4	CZE101_48	CZE101	CZE	female	18.0	DEV	1.72	1.99	0.27	4	tato	t a t o	t a t o	t a t o	5	Czech/wav/101/CZ101_48.wav
